2025-08-10 06:44:21,669 - Rank 1 - Starting training on rank 1
2025-08-10 06:58:59,436 - Rank 1 - Starting training
2025-08-10 09:42:32,243 - Rank 1 - Train Loss: 0.5124, Train Accuracy: 0.7965
2025-08-10 09:42:40,653 - Rank 1 - Validation Loss: 0.4459, Validation Accuracy: 0.8201
2025-08-10 09:44:38,833 - Rank 1 - Train Loss: 0.5080, Train Accuracy: 0.7976
2025-08-10 09:44:47,257 - Rank 1 - Validation Loss: 0.4448, Validation Accuracy: 0.8204
2025-08-10 09:46:46,365 - Rank 1 - Train Loss: 0.5038, Train Accuracy: 0.7991
2025-08-10 09:46:54,778 - Rank 1 - Validation Loss: 0.4456, Validation Accuracy: 0.8197
2025-08-10 09:48:54,745 - Rank 1 - Train Loss: 0.5018, Train Accuracy: 0.8002
2025-08-10 09:49:03,472 - Rank 1 - Validation Loss: 0.4422, Validation Accuracy: 0.8211
2025-08-10 09:51:01,610 - Rank 1 - Train Loss: 0.5004, Train Accuracy: 0.8006
2025-08-10 09:51:08,120 - Rank 1 - Validation Loss: 0.4425, Validation Accuracy: 0.8208
2025-08-10 09:53:07,558 - Rank 1 - Train Loss: 0.4983, Train Accuracy: 0.8016
2025-08-10 09:53:15,679 - Rank 1 - Validation Loss: 0.4382, Validation Accuracy: 0.8224
2025-08-10 09:55:15,954 - Rank 1 - Train Loss: 0.4937, Train Accuracy: 0.8022
2025-08-10 09:55:23,895 - Rank 1 - Validation Loss: 0.4341, Validation Accuracy: 0.8241
2025-08-10 09:57:18,199 - Rank 1 - Train Loss: 0.4949, Train Accuracy: 0.8024
2025-08-10 09:57:25,960 - Rank 1 - Validation Loss: 0.4321, Validation Accuracy: 0.8243
2025-08-10 09:59:26,427 - Rank 1 - Train Loss: 0.4896, Train Accuracy: 0.8040
2025-08-10 09:59:34,222 - Rank 1 - Validation Loss: 0.4307, Validation Accuracy: 0.8253
2025-08-10 10:01:32,960 - Rank 1 - Train Loss: 0.4879, Train Accuracy: 0.8046
2025-08-10 10:01:41,408 - Rank 1 - Validation Loss: 0.4261, Validation Accuracy: 0.8264
2025-08-10 10:03:40,770 - Rank 1 - Train Loss: 0.4850, Train Accuracy: 0.8053
2025-08-10 10:03:48,164 - Rank 1 - Validation Loss: 0.4326, Validation Accuracy: 0.8241
2025-08-10 10:05:48,887 - Rank 1 - Train Loss: 0.4829, Train Accuracy: 0.8064
2025-08-10 10:05:57,514 - Rank 1 - Validation Loss: 0.4207, Validation Accuracy: 0.8285
2025-08-10 10:07:57,171 - Rank 1 - Train Loss: 0.4793, Train Accuracy: 0.8075
2025-08-10 10:08:05,054 - Rank 1 - Validation Loss: 0.4221, Validation Accuracy: 0.8272
2025-08-10 10:10:02,976 - Rank 1 - Train Loss: 0.4768, Train Accuracy: 0.8085
2025-08-10 10:10:11,808 - Rank 1 - Validation Loss: 0.4187, Validation Accuracy: 0.8292
2025-08-10 10:12:05,171 - Rank 1 - Train Loss: 0.4760, Train Accuracy: 0.8085
2025-08-10 10:12:13,450 - Rank 1 - Validation Loss: 0.4247, Validation Accuracy: 0.8268
2025-08-10 10:14:16,085 - Rank 1 - Train Loss: 0.4748, Train Accuracy: 0.8091
2025-08-10 10:14:24,433 - Rank 1 - Validation Loss: 0.4152, Validation Accuracy: 0.8303
2025-08-10 10:16:23,204 - Rank 1 - Train Loss: 0.4721, Train Accuracy: 0.8102
2025-08-10 10:16:30,920 - Rank 1 - Validation Loss: 0.4136, Validation Accuracy: 0.8305
2025-08-10 10:18:30,594 - Rank 1 - Train Loss: 0.4694, Train Accuracy: 0.8109
2025-08-10 10:18:38,858 - Rank 1 - Validation Loss: 0.4080, Validation Accuracy: 0.8330
2025-08-10 10:20:38,139 - Rank 1 - Train Loss: 0.4670, Train Accuracy: 0.8118
2025-08-10 10:20:46,650 - Rank 1 - Validation Loss: 0.4079, Validation Accuracy: 0.8334
2025-08-10 10:22:46,554 - Rank 1 - Train Loss: 0.4666, Train Accuracy: 0.8118
2025-08-10 10:22:54,518 - Rank 1 - Validation Loss: 0.4069, Validation Accuracy: 0.8335
2025-08-10 10:24:49,751 - Rank 1 - Train Loss: 0.4658, Train Accuracy: 0.8124
2025-08-10 10:24:59,376 - Rank 1 - Validation Loss: 0.4040, Validation Accuracy: 0.8346
2025-08-10 10:26:57,102 - Rank 1 - Train Loss: 0.4612, Train Accuracy: 0.8137
2025-08-10 10:27:05,806 - Rank 1 - Validation Loss: 0.4048, Validation Accuracy: 0.8339
2025-08-10 10:29:05,358 - Rank 1 - Train Loss: 0.4594, Train Accuracy: 0.8146
2025-08-10 10:29:13,419 - Rank 1 - Validation Loss: 0.4013, Validation Accuracy: 0.8357
2025-08-10 10:31:13,901 - Rank 1 - Train Loss: 0.4577, Train Accuracy: 0.8155
2025-08-10 10:31:22,235 - Rank 1 - Validation Loss: 0.4001, Validation Accuracy: 0.8360
2025-08-10 10:33:21,536 - Rank 1 - Train Loss: 0.4550, Train Accuracy: 0.8157
2025-08-10 10:33:29,578 - Rank 1 - Validation Loss: 0.3996, Validation Accuracy: 0.8360
2025-08-10 10:35:28,568 - Rank 1 - Train Loss: 0.4553, Train Accuracy: 0.8160
2025-08-10 10:35:36,902 - Rank 1 - Validation Loss: 0.3962, Validation Accuracy: 0.8371
2025-08-10 10:37:36,508 - Rank 1 - Train Loss: 0.4510, Train Accuracy: 0.8174
2025-08-10 10:37:44,617 - Rank 1 - Validation Loss: 0.3929, Validation Accuracy: 0.8386
2025-08-10 10:39:44,285 - Rank 1 - Train Loss: 0.4498, Train Accuracy: 0.8180
2025-08-10 10:39:54,786 - Rank 1 - Validation Loss: 0.3908, Validation Accuracy: 0.8390
2025-08-10 10:42:26,093 - Rank 1 - Train Loss: 0.4484, Train Accuracy: 0.8183
2025-08-10 10:42:38,975 - Rank 1 - Validation Loss: 0.3933, Validation Accuracy: 0.8379
2025-08-10 10:45:14,423 - Rank 1 - Train Loss: 0.4461, Train Accuracy: 0.8190
2025-08-10 10:45:27,704 - Rank 1 - Validation Loss: 0.3903, Validation Accuracy: 0.8390
2025-08-10 10:48:05,796 - Rank 1 - Train Loss: 0.4444, Train Accuracy: 0.8200
2025-08-10 10:48:18,845 - Rank 1 - Validation Loss: 0.3866, Validation Accuracy: 0.8403
2025-08-10 10:50:25,573 - Rank 1 - Train Loss: 0.4417, Train Accuracy: 0.8203
