Drug;Neutral SMILES;SMILES at pH 7;Category;;;;;;
CHEMBL131716;;CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CCCCO2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@@H](C2O)[NH+](C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1317175;;CO[C@H]1\C=C/C=C(C)/C[C@H](C)[C@H](O)[C@H](C)\C=C(/C)\C=C(OC)\C(=O)OC1[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O)[C@H](C)C(O1)C(C)C;CHEMBL;;;;;;
CHEMBL1317548;;CCC1CCC2O[C@]3(CCC(C)C(CC(C)O)O3)C(C)[C@@H](OC(=O)\C=C/C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C(=O)[C@](C)(O)C(O)C(C)C\C=C/C=C/1)C2C;CHEMBL;;;;;;
CHEMBL1317549;;CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)[NH+](C)C)[C@@](C)(O)C[C@H](C)C(=O)[C@@H](C)[C@H](O)[C@@]1(C)O;CHEMBL;;;;;;
CHEMBL131758;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1ccc2ncccc2c1;CHEMBL;;;;;;
CHEMBL1317714;;CO[C@@H]1COC(=O)[C@@H](CCSC)NC(=O)C\C=C/[C@@H](C)COC(=O)[C@H](C)NC(=O)C\C=C/[C@H]1C;CHEMBL;;;;;;
CHEMBL131801;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CC[NH+](C)C)C(=O)O[C@]12C)OC\C=C\c1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL1318565;;CO[C@@H]1COC(=O)[C@@H](C)NC(=O)C\C=C/[C@@H](C)[C@@H](COC(=O)[C@H](COCc2ccccc2)NC(=O)C\C=C/[C@H]1C)OC;CHEMBL;;;;;;
CHEMBL1318861;;CCC(C)[NH+]1CCC2(CC1)N=C1C(=[NH+]2)C2=C([O-])c3c(O)c(C)c4O[C@](C)(OC=C[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)C=CC=C(C)C(=O)N2)C(=O)c4c13;CHEMBL;;;;;;
CHEMBL1318899;;NC(=O)CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)c2cc(cc(I)c2NCCCC[C@H](NC1=O)C(=O)NC(CC([O-])=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL131952;;CN1C(=O)C2=C(C1=O)c1cn(CCOCCOCCOCCn3cc2c2ccccc32)c2ccccc12;CHEMBL;;;;;;
CHEMBL1319771;;COc1cc2CC[N+](C)(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@@H](Cc7cccc(Oc(c1O)c23)c7)N(C)CCc6cc5OC)c4;CHEMBL;;;;;;
CHEMBL132005;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC\C=C\c1ccc(Cl)cc1;CHEMBL;;;;;;
CHEMBL132037;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C2=NCCN3[C@H]([C@H]2C)[C@]1(C)OC3=O)OC\C=C\c1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL1320933;;CO[C@@H]1COC(=O)[C@H](COCc2ccccc2)NC(=O)C\C=C/[C@@H](C)[C@@H](COC(=O)[C@H](COCc2ccccc2)NC(=O)C\C=C/[C@H]1C)OC;CHEMBL;;;;;;
CHEMBL132129;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OCCCc1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL1321422;;C[C@H]1COC(=O)[C@H]2CCCN2C(=O)[C@@H](C)COC(=O)[C@H](Cc2ccccc2)NC1=O;CHEMBL;;;;;;
CHEMBL132146;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OCC=C;CHEMBL;;;;;;
CHEMBL1321908;;C\C=C1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23;CHEMBL;;;;;;
CHEMBL1322032;;O=C(OCc1ccccc1)N1CCOCCOCCN(CCOCCOCC1)C(=O)OCc1ccccc1;CHEMBL;;;;;;
CHEMBL1322217;;NC(=O)C[C@H]1NC(=O)[C@H](CCC([O-])=O)NC(=O)c2cc(cc(I)c2NCCC[C@H](NC1=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL132223;;O=C1NC(=O)C2=C1c1cn(CCOCCOCCn3cc2c2cccnc32)c2ncccc12;CHEMBL;;;;;;
CHEMBL132229;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/OCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1322776;;NC(=O)C[C@@H]1NC(=O)c2cc(cc(F)c2NCCCC[C@H](NC(=O)[C@H](CO)NC1=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL132308;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1ccc2nnccc2c1;CHEMBL;;;;;;
CHEMBL132317;;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL132350;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1cccc2cnccc12;CHEMBL;;;;;;
CHEMBL1323619;;CCC1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC([C@H]2OC(=O)CC)[NH+](C)C)[C@@](C)(O)CC(C)C(=O)[C@@H](C)C(O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1323656;;CO[C@@H]1COC(=O)[C@H](C)NC(=O)C\C=C/[C@@H](OC)[C@H](C)COC(=O)C\C=C/[C@H]1C;CHEMBL;;;;;;
CHEMBL1325080;;CO[C@H]1COC(=O)C\C=C/[C@@H](C)COC(=O)[C@@H](C)NC(=O)C\C=C/[C@@H]1C;CHEMBL;;;;;;
CHEMBL1325471;;CCCCNC(=O)N1CCOCCOCCN(CCOCC1)C(=O)NCCCC;CHEMBL;;;;;;
CHEMBL132552;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/OC2CCC[NH+](C)C2)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1325775;;CO[C@@H]1COC(=O)[C@H](C)NC(=O)C\C=C/[C@@H](OC)[C@H](C)COC(=O)CCC[C@H]1C;CHEMBL;;;;;;
CHEMBL1326015;;CO[C@@H]1[C@@H](CC(=O)O[C@H](C)C\C=C/C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@H]1O[C@H]1O[C@@H](C)[C@@H](O[C@@H]2C[C@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O2)[C@H]([C@@H]1O)[NH+](C)C)OC(C)=O;CHEMBL;;;;;;
CHEMBL1326987;;COC(=O)c1ccccc1C(=O)N1CCOCCOCCOCC1;CHEMBL;;;;;;
CHEMBL132715;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1ccnc2ccccc12;CHEMBL;;;;;;
CHEMBL1327243;;C1Nc2cc[n+](Cc3cccc(C[n+]4ccc(NCc5ccc1cc5)c1ccccc41)c3)c1ccccc21;CHEMBL;;;;;;
CHEMBL1327624;;COC1\C=C/O[C@@]2(C)Oc3c(C2=O)c2c4nc5cc(C)ccn5c4c(NC(=O)\C(C)=C/C=C\C(C)C(O)[C@@H](C)C(O)C(C)[C@@H](OC(C)=O)C1C)c([O-])c2c(O)c3C;CHEMBL;;;;;;
CHEMBL132848;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OCC[NH2+]Cc1ccncc1;CHEMBL;;;;;;
CHEMBL1328576;;CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@@H](C)C[C@H]([C@@H]2O)[NH+](C)C)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)[C@H](O)[C@]1(C)O;CHEMBL;;;;;;
CHEMBL1328768;;CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C(C)[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O;CHEMBL;;;;;;
CHEMBL132895;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/OCC[NH2+]CC#C)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1329171;;CO[C@@H]1C[C@H](C[C@@H](C)C2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O;CHEMBL;;;;;;
CHEMBL1329568;;CO[C@H]1COC(=O)C\C=C/[C@H](C)[C@@H](COC(=O)[C@@H](C)COC(=O)C\C=C/[C@@H]1C)OC;CHEMBL;;;;;;
CHEMBL132989;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OCCCc1ccccc1;CHEMBL;;;;;;
CHEMBL1329939;;C[C@H]1COC(=O)C\C=C/[C@H](C)[C@H](COC(=O)C\C=C/1)NS(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL133157;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OCC[NH3+];CHEMBL;;;;;;
CHEMBL133175;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/OCC[NH+]2CCC2)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL1331756;;CC(NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCOCCOCCOCCOCC1;CHEMBL;;;;;;
CHEMBL1332607;;CO[C@H]1\C=C/O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CC[NH+](CC(C)C)CC5)[NH+]=C4C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C([O-])c2c(O)c3C;CHEMBL;;;;;;
CHEMBL1332716;;CO[C@H]1\C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(\C=N\N4CC[NH+](C)CC4)c(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c([O-])c3C;CHEMBL;;;;;;
CHEMBL1333638;;CC(C)(C)OC(=O)N1CCOCCOCCN(CCOCCOCC1)C(=O)OC(C)(C)C;CHEMBL;;;;;;
CHEMBL1333994;;Brc1ccc2OCCOCCOCCOCCOCCOCCOc2c1;CHEMBL;;;;;;
CHEMBL1334658;;CO[C@@H]1COC(=O)C\C=C/[C@H](C)COC(=O)[C@H](Cc2ccccc2)NC(=O)C\C=C/[C@H]1C;CHEMBL;;;;;;
CHEMBL1335015;;C[C@H]1CCCC(=O)CCC\C=C\c2c(O)cc(O)cc2C(=O)O1;CHEMBL;;;;;;
CHEMBL133525;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1ccc2ccccc2n1;CHEMBL;;;;;;
CHEMBL133611;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(N)C(=O)O[C@]12C)OC\C=C\c1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL133627;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCOCc3ccccc3)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL1337128;;CO[C@@H]1COC(=O)C\C=C/[C@@H](C)COC(=O)[C@H](Cc2ccccc2)NC(=O)C\C=C/[C@H]1C;CHEMBL;;;;;;
CHEMBL1338329;;CO[C@@H]1COC(=O)C\C=C/[C@H](C)[C@H](COC(=O)C\C=C/[C@@H]1C)NS(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1338430;;CCOC(=O)C(C)CC(C)C(=O)N1CCOCCN(CCOCC1)C(=O)C(C)CC(C)C(=O)OCC;CHEMBL;;;;;;
CHEMBL133851;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCc3cccc(Cl)c3)C(=O)O[C@]12C)OC;CHEMBL;;;;;;
CHEMBL133924;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\c1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL13396;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@@H](C)CNC2=O)C(=O)C#Cc2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL1340583;;CO[C@H]1\C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(\C=N\N4CC[NH+](CC4)C4CCCC4)c(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c([O-])c3C;CHEMBL;;;;;;
CHEMBL1340743;;CC(=O)c1ccc2OCCOCCOCCOCCOCCOc2c1;CHEMBL;;;;;;
CHEMBL1341674;;N#Cc1ncc(nc1C#N)-c1ccc2OCCOCCOCCOCCOCCOc2c1;CHEMBL;;;;;;
CHEMBL134229;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)\C(=N/O)[C@H](C)[C@@H](O)[C@]1(C)O)OC;CHEMBL;;;;;;
CHEMBL134263;;COC1\C=C\OC2(C)Oc3c(C2=O)c2c(OCC(=O)NC(C)(C)C)cc(NC(=O)\C(C)=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)c(O)c2c(O)c3C;CHEMBL;;;;;;
CHEMBL1342820;;NC(=O)CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)c2cc(cc(F)c2NCCC[C@H](NC1=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1344275;;O=C(NN=C1CCCCCCCCCCC1)c1cccc(c1)S(=O)(=O)N1CCOCC1;CHEMBL;;;;;;
CHEMBL134434;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C2=NCCN3[C@H]([C@H]2C)[C@]1(C)OC3=O)OCC=C;CHEMBL;;;;;;
CHEMBL134472;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OCC[NH2+]Cc1cnc2ccccc2c1;CHEMBL;;;;;;
CHEMBL1344804;;NC(=O)[C@@H]1CCCNc2c(F)cc(cc2C(=O)N[C@@H](CO)C(=O)NCC(=O)N1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL134484;;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OCC=C;CHEMBL;;;;;;
CHEMBL1345562;;CC(C)(C)OC(=O)N1CCOCCOCCN(CCOCC1)C(=O)OC(C)(C)C;CHEMBL;;;;;;
CHEMBL1348107;;CCOC(=O)CCC(=O)N1CCOCCOCCN(CCOCC1)C(=O)CCC(=O)OCC;CHEMBL;;;;;;
CHEMBL1348740;;CC(C)C[C@@H]1NC(=O)[C@H](CO)NC(=O)c2cc(cc(I)c2OCC[C@H](NC1=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1348806;;C1C[NH2+]CCOCC[NH2+]CC[NH2+]1;CHEMBL;;;;;;
CHEMBL1349873;;Nc1cc2OCCOCCOCCOc2cc1[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1352140;;CC(=O)N1CCOCCOCCN(CCOCC1)C(C)=O;CHEMBL;;;;;;
CHEMBL13529;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)[C@H](C)\C=C\c2ccccc2)cc1Cl;CHEMBL;;;;;;
CHEMBL1353042;;CC[C@H]1CC[C@H]2O[C@@]3(CC[C@@H](C)[C@@H](C[C@H](C)O)O3)[C@H](C)[C@@H](OC(=O)C=C[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@H](O)[C@@H](C)CC=CC=C1)[C@H]2C;CHEMBL;;;;;;
CHEMBL1353218;;C1COCCOCCN(CCOCCOCCO1)c1ccccc1;CHEMBL;;;;;;
CHEMBL13537;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@@H](C)CNC2=O)C(O)C#Cc2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL13538;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)C(O)C#Cc2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL1354106;;COc1ccc(cc1C[NH+]1CCOCCOCC[NH+](Cc2ccc(cc2OC)[N+]([O-])=O)CCOCC1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1354221;;[O-]C(=O)c1ccc2OCCOCCOCCOCCOCCOc2c1;CHEMBL;;;;;;
CHEMBL13546;;CCC[NH+]1C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C([NH3+])[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@H]1C;CHEMBL;;;;;;
CHEMBL1354806;;[O-][N+](=O)c1ccc(C[NH+]2CCOCCOCC[NH+](Cc3ccc(cc3)[N+]([O-])=O)CCOCC2)cc1;CHEMBL;;;;;;
CHEMBL13549;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@@H](C)CNC2=O)C(Br)C#Cc2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL1354988;;CCC1OC(=O)C[C@H](O)C(C)[C@@H](O[C@@H]2OC(C)C(O)C(C2O)[NH+](C)C)C(CC[NH+]2CC(C)CC(C)C2)CC(C)C(=O)\C=C\C(\C)=C/[C@@H]1COC1OC(C)C(O)C(OC)C1OC;CHEMBL;;;;;;
CHEMBL13551;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)[C@@](C)(O)\C=C/c2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL1355410;;CCC1OC(=O)C(C)C(=O)C(C)[C@@H](OC2OC(C)CC(C2O)[NH+](C)C)C(C)(OC)C2(CCCn3cnc(c3)-c3cccnc3)CC(C)C(=O)C(C)C3N(C2)C(=O)O[C@]13C;CHEMBL;;;;;;
CHEMBL1355501;;NC(=O)N\C=C1/NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](CNC(=O)[C@H](NC1=O)[C@@H]1C[C@H](O)[NH+]=C(N)N1)NC(=O)C[C@@H]([NH3+])CCC[NH3+];CHEMBL;;;;;;
CHEMBL1355963;;CC[C@H](C)[C@@H]1O[C@]2(CC[C@@H]1C)C[C@H]1C[C@H](C\C=C(C)\[C@@H](O[C@@H]3C[C@H](OC)[C@H](O[C@@H]4C[C@H](OC)[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\C=C\C=C3CO[C@@H]4[C@@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2;CHEMBL;;;;;;
CHEMBL1356463;;CO[C@H]1COC(=O)C\C=C/[C@H](C)[C@H](COC(=O)CCC[C@@H]1C)NS(=O)(=O)c1ccc(C)cc1;CHEMBL;;;;;;
CHEMBL1356731;;CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)N[C@H](COC1=O)c1ccccc1;CHEMBL;;;;;;
CHEMBL1357195;;CO[C@H]1C[C@@H](O[C@@H]2[C@H](C)[C@H](O[C@@H]3O[C@@H](C)C[C@H]([C@@H]3O)[NH+](C)C)[C@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@H](O)[C@H](C)[C@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@H]1O;CHEMBL;;;;;;
CHEMBL1357349;;OCCN(Cc1ccccc1)C(=O)C[C@H]1C\C=C/CC[C@@H](Cc2ccc(F)cc2)C(=O)OC[C@H]2CCCN2C1=O;CHEMBL;;;;;;
CHEMBL135846;;NC(=O)[C@@H]1CSC[C@@H](NC(=O)[C@@H]([NH3+])Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N1;CHEMBL;;;;;;
CHEMBL1359206;;NC(=O)[C@@H]1CCCNc2c(I)cc(cc2C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL1359274;;C[C@@H]1NC(=O)c2cc(cc(I)c2OCC[C@H](NC(=O)[C@H](CCC([O-])=O)NC1=O)C(=O)NC(CC([O-])=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL13594;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@@H](CCCc3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1Cl;CHEMBL;;;;;;
CHEMBL1359405;;NC(=O)[C@@H]1CCOc2c(I)cc(cc2C(=O)N[C@@H](CO)C(=O)NCC(=O)N1)[N+]([O-])=O;CHEMBL;;;;;;
CHEMBL13610;;COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)[C@@H](C)\C=C\c2ccccc2)cc1;CHEMBL;;;;;;
CHEMBL1361449;;CO[C@@H]1COC(=O)C\C=C/[C@@H](C)[C@@H](COC(=O)[C@H](COCc2ccccc2)NC(=O)C\C=C/[C@H]1C)OC;CHEMBL;;;;;;
CHEMBL1362009;;CC1CC(C)(C)NCC[NH2+]C(C)CC(C)(C)[NH2+]CCN1;CHEMBL;;;;;;
CHEMBL136268;;C[C@H](O)[C@@H]1OCC\C(C)=C\C(=O)OC[C@]23CCC(C)=C[C@H]2O[C@@H]2[C@H](O)[C@@H](OC(=O)\C=C/C=C/1)[C@@]3(C)[C@]21CO1;CHEMBL;;;;;;
CHEMBL1362806;;C[C@@H](O)[C@@H]1NC(=O)c2cc(cc(I)c2NCC[C@H](NC(=O)CNC1=O)C(N)=O)[N+]([O-])=O;CHEMBL;;;;;;
