2025-08-10 06:44:21,859 - Rank 6 - Starting training on rank 6
2025-08-10 06:58:59,601 - Rank 6 - Starting training
2025-08-10 09:21:09,086 - Rank 6 - Train Loss: 0.5358, Train Accuracy: 0.7881
2025-08-10 09:21:20,036 - Rank 6 - Validation Loss: 0.4854, Validation Accuracy: 0.8063
2025-08-10 09:23:53,616 - Rank 6 - Train Loss: 0.5353, Train Accuracy: 0.7883
2025-08-10 09:24:03,652 - Rank 6 - Validation Loss: 0.4803, Validation Accuracy: 0.8086
2025-08-10 09:26:40,641 - Rank 6 - Train Loss: 0.5305, Train Accuracy: 0.7903
2025-08-10 09:26:50,948 - Rank 6 - Validation Loss: 0.4766, Validation Accuracy: 0.8096
2025-08-10 09:29:28,170 - Rank 6 - Train Loss: 0.5322, Train Accuracy: 0.7894
2025-08-10 09:29:38,436 - Rank 6 - Validation Loss: 0.4958, Validation Accuracy: 0.8019
2025-08-10 09:32:01,675 - Rank 6 - Train Loss: 0.5290, Train Accuracy: 0.7905
2025-08-10 09:32:11,941 - Rank 6 - Validation Loss: 0.4684, Validation Accuracy: 0.8121
2025-08-10 09:34:08,764 - Rank 6 - Train Loss: 0.5222, Train Accuracy: 0.7928
2025-08-10 09:34:19,227 - Rank 6 - Validation Loss: 0.4790, Validation Accuracy: 0.8083
2025-08-10 09:36:15,396 - Rank 6 - Train Loss: 0.5190, Train Accuracy: 0.7939
2025-08-10 09:36:26,231 - Rank 6 - Validation Loss: 0.4587, Validation Accuracy: 0.8161
2025-08-10 09:38:23,811 - Rank 6 - Train Loss: 0.5168, Train Accuracy: 0.7945
2025-08-10 09:38:34,533 - Rank 6 - Validation Loss: 0.4657, Validation Accuracy: 0.8130
2025-08-10 09:40:32,458 - Rank 6 - Train Loss: 0.5140, Train Accuracy: 0.7957
2025-08-10 09:40:42,495 - Rank 6 - Validation Loss: 0.4563, Validation Accuracy: 0.8168
2025-08-10 09:42:32,243 - Rank 6 - Train Loss: 0.5097, Train Accuracy: 0.7972
2025-08-10 09:42:42,399 - Rank 6 - Validation Loss: 0.4506, Validation Accuracy: 0.8191
2025-08-10 09:44:38,831 - Rank 6 - Train Loss: 0.5095, Train Accuracy: 0.7972
2025-08-10 09:44:49,012 - Rank 6 - Validation Loss: 0.4497, Validation Accuracy: 0.8189
2025-08-10 09:46:46,370 - Rank 6 - Train Loss: 0.5056, Train Accuracy: 0.7987
2025-08-10 09:46:57,207 - Rank 6 - Validation Loss: 0.4504, Validation Accuracy: 0.8186
2025-08-10 09:48:54,741 - Rank 6 - Train Loss: 0.5024, Train Accuracy: 0.7996
2025-08-10 09:49:05,520 - Rank 6 - Validation Loss: 0.4469, Validation Accuracy: 0.8203
2025-08-10 09:51:01,617 - Rank 6 - Train Loss: 0.4982, Train Accuracy: 0.8011
2025-08-10 09:51:12,246 - Rank 6 - Validation Loss: 0.4472, Validation Accuracy: 0.8197
2025-08-10 09:53:07,559 - Rank 6 - Train Loss: 0.4950, Train Accuracy: 0.8022
2025-08-10 09:53:17,918 - Rank 6 - Validation Loss: 0.4432, Validation Accuracy: 0.8211
2025-08-10 09:55:15,958 - Rank 6 - Train Loss: 0.4950, Train Accuracy: 0.8021
2025-08-10 09:55:26,177 - Rank 6 - Validation Loss: 0.4388, Validation Accuracy: 0.8231
2025-08-10 09:57:18,199 - Rank 6 - Train Loss: 0.4929, Train Accuracy: 0.8027
2025-08-10 09:57:28,169 - Rank 6 - Validation Loss: 0.4368, Validation Accuracy: 0.8235
2025-08-10 09:59:26,426 - Rank 6 - Train Loss: 0.4901, Train Accuracy: 0.8040
2025-08-10 09:59:36,855 - Rank 6 - Validation Loss: 0.4356, Validation Accuracy: 0.8245
2025-08-10 10:01:32,963 - Rank 6 - Train Loss: 0.4885, Train Accuracy: 0.8043
2025-08-10 10:01:43,479 - Rank 6 - Validation Loss: 0.4307, Validation Accuracy: 0.8259
2025-08-10 10:03:40,774 - Rank 6 - Train Loss: 0.4848, Train Accuracy: 0.8058
2025-08-10 10:03:51,375 - Rank 6 - Validation Loss: 0.4372, Validation Accuracy: 0.8231
2025-08-10 10:05:48,891 - Rank 6 - Train Loss: 0.4821, Train Accuracy: 0.8069
2025-08-10 10:05:59,538 - Rank 6 - Validation Loss: 0.4256, Validation Accuracy: 0.8277
2025-08-10 10:07:57,171 - Rank 6 - Train Loss: 0.4798, Train Accuracy: 0.8079
2025-08-10 10:08:07,173 - Rank 6 - Validation Loss: 0.4268, Validation Accuracy: 0.8267
2025-08-10 10:10:02,980 - Rank 6 - Train Loss: 0.4779, Train Accuracy: 0.8081
2025-08-10 10:10:12,535 - Rank 6 - Validation Loss: 0.4241, Validation Accuracy: 0.8278
2025-08-10 10:12:05,167 - Rank 6 - Train Loss: 0.4766, Train Accuracy: 0.8087
2025-08-10 10:12:15,466 - Rank 6 - Validation Loss: 0.4295, Validation Accuracy: 0.8260
2025-08-10 10:14:16,088 - Rank 6 - Train Loss: 0.4750, Train Accuracy: 0.8091
2025-08-10 10:14:26,391 - Rank 6 - Validation Loss: 0.4203, Validation Accuracy: 0.8293
2025-08-10 10:16:23,203 - Rank 6 - Train Loss: 0.4706, Train Accuracy: 0.8106
2025-08-10 10:16:33,740 - Rank 6 - Validation Loss: 0.4186, Validation Accuracy: 0.8299
2025-08-10 10:18:30,598 - Rank 6 - Train Loss: 0.4678, Train Accuracy: 0.8115
2025-08-10 10:18:40,900 - Rank 6 - Validation Loss: 0.4129, Validation Accuracy: 0.8318
2025-08-10 10:20:38,137 - Rank 6 - Train Loss: 0.4661, Train Accuracy: 0.8122
2025-08-10 10:20:49,204 - Rank 6 - Validation Loss: 0.4127, Validation Accuracy: 0.8318
2025-08-10 10:22:46,553 - Rank 6 - Train Loss: 0.4644, Train Accuracy: 0.8130
2025-08-10 10:22:56,716 - Rank 6 - Validation Loss: 0.4119, Validation Accuracy: 0.8321
2025-08-10 10:24:49,755 - Rank 6 - Train Loss: 0.4632, Train Accuracy: 0.8133
2025-08-10 10:25:00,391 - Rank 6 - Validation Loss: 0.4091, Validation Accuracy: 0.8333
2025-08-10 10:26:57,107 - Rank 6 - Train Loss: 0.4609, Train Accuracy: 0.8142
2025-08-10 10:27:07,473 - Rank 6 - Validation Loss: 0.4098, Validation Accuracy: 0.8327
2025-08-10 10:29:05,357 - Rank 6 - Train Loss: 0.4590, Train Accuracy: 0.8147
2025-08-10 10:29:15,657 - Rank 6 - Validation Loss: 0.4064, Validation Accuracy: 0.8343
2025-08-10 10:31:13,896 - Rank 6 - Train Loss: 0.4557, Train Accuracy: 0.8159
2025-08-10 10:31:23,950 - Rank 6 - Validation Loss: 0.4050, Validation Accuracy: 0.8345
2025-08-10 10:33:21,540 - Rank 6 - Train Loss: 0.4560, Train Accuracy: 0.8156
2025-08-10 10:33:31,967 - Rank 6 - Validation Loss: 0.4045, Validation Accuracy: 0.8345
2025-08-10 10:35:28,574 - Rank 6 - Train Loss: 0.4536, Train Accuracy: 0.8164
2025-08-10 10:35:38,848 - Rank 6 - Validation Loss: 0.4013, Validation Accuracy: 0.8355
2025-08-10 10:37:36,512 - Rank 6 - Train Loss: 0.4519, Train Accuracy: 0.8171
2025-08-10 10:37:47,007 - Rank 6 - Validation Loss: 0.3980, Validation Accuracy: 0.8369
2025-08-10 10:39:44,283 - Rank 6 - Train Loss: 0.4509, Train Accuracy: 0.8175
2025-08-10 10:39:54,122 - Rank 6 - Validation Loss: 0.3962, Validation Accuracy: 0.8375
2025-08-10 10:42:26,087 - Rank 6 - Train Loss: 0.4487, Train Accuracy: 0.8184
2025-08-10 10:42:36,337 - Rank 6 - Validation Loss: 0.3987, Validation Accuracy: 0.8361
2025-08-10 10:45:14,422 - Rank 6 - Train Loss: 0.4457, Train Accuracy: 0.8192
2025-08-10 10:45:24,498 - Rank 6 - Validation Loss: 0.3950, Validation Accuracy: 0.8375
2025-08-10 10:48:05,801 - Rank 6 - Train Loss: 0.4453, Train Accuracy: 0.8195
2025-08-10 10:48:16,014 - Rank 6 - Validation Loss: 0.3915, Validation Accuracy: 0.8384
2025-08-10 10:50:25,573 - Rank 6 - Train Loss: 0.4420, Train Accuracy: 0.8205
